existingchecking	duration	credithistory	purpose	creditamount	savings	employmentsince	installmentrate	otherdebts	residencesince	property	otherinstallmentplans	housing	existingcredits	job	peopleliable	telephone	foreignworker	classification	gender
0 <= x < 200 DM	24	critical accnt. / other credits	education	5743	x < 100 DM	x < 1 year	2	none	4	unknown	none	for free	2	skilled employee / official	1	yes	yes	1	F
x < 0 DM	21	existing credits paid	forniture	3599	x < 100 DM	4 <= x < 7 years	1	none	4	car or other	none	rent	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	18	existing credits paid	radio/tv	3213	500 <= x < 1000 DM	x < 1 year	1	none	3	real estate	none	rent	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	18	existing credits paid	business	4439	x < 100 DM	x >= 7 years	1	co-applicant	1	real estate	bank	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x >= 200DM	10	existing credits paid	new car	3949	x < 100 DM	x < 1 year	1	guarantor	1	soc. savings / life insurance	none	own	1	unskilled-resident	2	none	yes	1	M
no checking account	15	critical accnt. / other credits	radio/tv	1459	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	13	critical accnt. / other credits	radio/tv	882	x < 100 DM	x < 1 year	4	guarantor	4	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	24	existing credits paid	radio/tv	3758	500 <= x < 1000 DM	unemployed	1	none	4	unknown	none	rent	1	unemployed / unskilled-non-resident	1	none	yes	1	F
no checking account	6	delay	business	1743	100 <= x < 500 DM	1 <= x < 4 years	1	none	2	real estate	none	own	2	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	9	critical accnt. / other credits	education	1136	x >= 1000 DM	x >= 7 years	4	none	3	unknown	none	for free	2	skilled employee / official	2	none	yes	0	M
no checking account	9	existing credits paid	appliances	1236	x < 100 DM	x < 1 year	1	none	4	real estate	none	rent	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	9	existing credits paid	forniture	959	x < 100 DM	1 <= x < 4 years	1	none	2	car or other	none	own	1	skilled employee / official	1	none	no	0	F
no checking account	18	critical accnt. / other credits	used car	3229	unknown	unemployed	2	none	4	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	12	no credits	radio/tv	6199	x < 100 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	rent	2	skilled employee / official	1	yes	yes	0	M
no checking account	10	existing credits paid	education	727	500 <= x < 1000 DM	x >= 7 years	4	none	4	unknown	none	for free	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	24	existing credits paid	new car	1246	x < 100 DM	x < 1 year	4	none	2	real estate	stores	own	1	unskilled-resident	1	none	yes	0	M
no checking account	12	critical accnt. / other credits	radio/tv	2331	unknown	x >= 7 years	1	co-applicant	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	36	delay	radio/tv	4463	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	12	existing credits paid	radio/tv	776	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	30	existing credits paid	forniture	2406	x < 100 DM	4 <= x < 7 years	4	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	18	existing credits paid	education	1239	unknown	1 <= x < 4 years	4	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	12	existing credits paid	radio/tv	3399	unknown	x >= 7 years	2	none	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
x >= 200DM	12	delay	new car	2247	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	stores	own	2	skilled employee / official	1	yes	yes	1	F
no checking account	6	existing credits paid	forniture	1766	x < 100 DM	1 <= x < 4 years	1	none	2	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	18	existing credits paid	forniture	2473	x < 100 DM	unemployed	4	none	1	car or other	none	own	1	unemployed / unskilled-non-resident	1	none	yes	0	M
no checking account	12	existing credits paid	business	1542	x < 100 DM	4 <= x < 7 years	2	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	18	critical accnt. / other credits	used car	3850	x < 100 DM	4 <= x < 7 years	3	none	1	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	18	existing credits paid	forniture	3650	x < 100 DM	x < 1 year	1	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	36	existing credits paid	forniture	3446	x < 100 DM	x >= 7 years	4	none	2	car or other	none	own	1	skilled employee / official	2	none	yes	0	M
0 <= x < 200 DM	18	existing credits paid	forniture	3001	x < 100 DM	4 <= x < 7 years	2	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	1	F
no checking account	36	existing credits paid	new car	3079	unknown	1 <= x < 4 years	4	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	radio/tv	6070	x < 100 DM	x >= 7 years	3	none	4	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	10	critical accnt. / other credits	forniture	2146	x < 100 DM	x < 1 year	1	none	3	real estate	none	rent	2	skilled employee / official	1	none	yes	1	F
no checking account	60	critical accnt. / other credits	new car	13756	unknown	x >= 7 years	2	none	4	unknown	bank	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	60	all credits paid	others	14782	100 <= x < 500 DM	x >= 7 years	3	none	4	unknown	bank	for free	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
x < 0 DM	48	all credits paid	business	7685	x < 100 DM	4 <= x < 7 years	2	guarantor	4	car or other	none	rent	1	skilled employee / official	1	none	yes	0	F
no checking account	18	delay	radio/tv	2320	x < 100 DM	unemployed	2	none	3	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	7	delay	radio/tv	846	unknown	x >= 7 years	3	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	36	existing credits paid	new car	14318	x < 100 DM	x >= 7 years	4	none	2	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	6	critical accnt. / other credits	new car	362	100 <= x < 500 DM	1 <= x < 4 years	4	none	4	car or other	none	own	2	unskilled-resident	1	none	yes	1	F
x < 0 DM	20	existing credits paid	forniture	2212	unknown	4 <= x < 7 years	4	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	18	existing credits paid	used car	12976	x < 100 DM	unemployed	3	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
no checking account	22	existing credits paid	new car	1283	unknown	4 <= x < 7 years	4	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	1	F
x >= 200DM	12	existing credits paid	new car	1330	x < 100 DM	x < 1 year	4	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	30	delay	business	4272	100 <= x < 500 DM	1 <= x < 4 years	2	none	2	soc. savings / life insurance	none	own	2	unskilled-resident	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	radio/tv	2238	x < 100 DM	1 <= x < 4 years	2	none	1	car or other	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	18	existing credits paid	radio/tv	1126	unknown	x < 1 year	4	none	2	real estate	none	rent	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	18	critical accnt. / other credits	forniture	7374	x < 100 DM	unemployed	4	none	4	soc. savings / life insurance	stores	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	15	critical accnt. / other credits	business	2326	500 <= x < 1000 DM	1 <= x < 4 years	2	none	4	car or other	bank	own	1	skilled employee / official	1	none	yes	1	M
no checking account	9	existing credits paid	business	1449	x < 100 DM	4 <= x < 7 years	3	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	18	existing credits paid	new car	1820	x < 100 DM	1 <= x < 4 years	2	none	2	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	12	existing credits paid	forniture	983	x >= 1000 DM	x < 1 year	1	none	4	real estate	none	rent	1	unskilled-resident	1	none	yes	1	F
x < 0 DM	36	existing credits paid	new car	3249	x < 100 DM	4 <= x < 7 years	2	none	4	unknown	bank	for free	1	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
x < 0 DM	6	critical accnt. / other credits	radio/tv	1957	x < 100 DM	4 <= x < 7 years	1	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	9	critical accnt. / other credits	forniture	2406	x < 100 DM	unemployed	2	none	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
0 <= x < 200 DM	39	delay	education	11760	100 <= x < 500 DM	4 <= x < 7 years	2	none	3	unknown	none	rent	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	forniture	2578	x < 100 DM	unemployed	3	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	F
x < 0 DM	36	critical accnt. / other credits	forniture	2348	x < 100 DM	1 <= x < 4 years	3	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	12	existing credits paid	new car	1223	x < 100 DM	x >= 7 years	1	none	1	real estate	none	rent	2	skilled employee / official	1	none	yes	0	M
no checking account	24	critical accnt. / other credits	radio/tv	1516	x >= 1000 DM	1 <= x < 4 years	4	none	1	real estate	none	own	2	unskilled-resident	1	none	yes	1	F
no checking account	18	existing credits paid	radio/tv	1473	x < 100 DM	x < 1 year	3	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	18	critical accnt. / other credits	business	1887	unknown	1 <= x < 4 years	4	none	4	real estate	bank	own	2	skilled employee / official	1	none	yes	1	M
no checking account	24	delay	business	8648	x < 100 DM	x < 1 year	2	none	2	car or other	bank	own	2	skilled employee / official	1	yes	yes	0	M
no checking account	14	delay	new car	802	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	2	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	18	delay	new car	2899	unknown	x >= 7 years	4	none	4	car or other	none	own	1	skilled employee / official	2	none	yes	1	M
0 <= x < 200 DM	24	existing credits paid	radio/tv	2039	x < 100 DM	x < 1 year	1	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	0	M
no checking account	24	critical accnt. / other credits	used car	2197	unknown	4 <= x < 7 years	4	none	4	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
x < 0 DM	15	existing credits paid	radio/tv	1053	x < 100 DM	x < 1 year	4	none	2	real estate	none	own	1	skilled employee / official	1	none	no	1	M
no checking account	24	existing credits paid	radio/tv	3235	500 <= x < 1000 DM	x >= 7 years	3	none	2	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x >= 200DM	12	critical accnt. / other credits	new car	939	500 <= x < 1000 DM	4 <= x < 7 years	4	none	2	real estate	none	own	3	skilled employee / official	1	yes	yes	0	M
0 <= x < 200 DM	24	existing credits paid	radio/tv	1967	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
no checking account	33	critical accnt. / other credits	used car	7253	x < 100 DM	4 <= x < 7 years	3	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	12	critical accnt. / other credits	business	2292	x < 100 DM	unemployed	4	none	2	car or other	stores	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	10	existing credits paid	new car	1597	500 <= x < 1000 DM	1 <= x < 4 years	3	none	2	unknown	none	rent	1	unskilled-resident	2	none	no	1	M
x < 0 DM	24	existing credits paid	new car	1381	unknown	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
no checking account	36	critical accnt. / other credits	used car	5842	x < 100 DM	x >= 7 years	2	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	2	yes	yes	1	M
x < 0 DM	12	existing credits paid	new car	2579	x < 100 DM	x < 1 year	4	none	1	real estate	none	own	1	unskilled-resident	2	none	yes	0	M
x < 0 DM	18	delay	education	8471	unknown	1 <= x < 4 years	1	none	2	car or other	none	rent	2	skilled employee / official	1	yes	yes	1	F
no checking account	21	existing credits paid	new car	2782	500 <= x < 1000 DM	4 <= x < 7 years	1	none	2	car or other	bank	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	F
0 <= x < 200 DM	18	existing credits paid	new car	1042	unknown	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
no checking account	15	existing credits paid	new car	3186	x >= 1000 DM	4 <= x < 7 years	2	none	3	car or other	none	rent	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	12	existing credits paid	used car	2028	unknown	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	critical accnt. / other credits	new car	958	x < 100 DM	4 <= x < 7 years	2	none	3	real estate	none	own	2	unskilled-resident	2	none	yes	1	M
no checking account	21	delay	forniture	1591	100 <= x < 500 DM	4 <= x < 7 years	4	none	3	real estate	none	own	2	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	forniture	2762	unknown	x >= 7 years	1	none	2	soc. savings / life insurance	bank	own	1	skilled employee / official	1	yes	yes	0	F
0 <= x < 200 DM	18	existing credits paid	used car	2779	x < 100 DM	1 <= x < 4 years	1	none	3	car or other	none	rent	1	skilled employee / official	1	yes	yes	1	M
no checking account	28	critical accnt. / other credits	radio/tv	2743	x < 100 DM	x >= 7 years	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	radio/tv	1149	x >= 1000 DM	1 <= x < 4 years	4	none	3	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	9	existing credits paid	forniture	1313	x < 100 DM	x >= 7 years	1	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	18	critical accnt. / other credits	repairs	1190	x < 100 DM	unemployed	2	none	4	unknown	none	for free	3	unemployed / unskilled-non-resident	2	none	yes	0	F
no checking account	5	existing credits paid	business	3448	x < 100 DM	4 <= x < 7 years	1	none	4	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	24	existing credits paid	others	11328	x < 100 DM	1 <= x < 4 years	2	co-applicant	3	car or other	bank	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
x < 0 DM	6	critical accnt. / other credits	forniture	1872	x < 100 DM	unemployed	4	none	4	unknown	none	for free	3	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	24	critical accnt. / other credits	repairs	2058	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	9	existing credits paid	forniture	2136	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	1484	unknown	1 <= x < 4 years	2	none	1	real estate	none	own	1	skilled employee / official	1	yes	yes	0	M
no checking account	6	existing credits paid	repairs	660	500 <= x < 1000 DM	4 <= x < 7 years	2	none	4	real estate	none	rent	1	unskilled-resident	1	none	yes	1	M
no checking account	24	critical accnt. / other credits	new car	1287	x >= 1000 DM	x >= 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	yes	yes	1	F
x < 0 DM	42	critical accnt. / other credits	repairs	3394	x < 100 DM	unemployed	4	co-applicant	4	car or other	none	own	2	unemployed / unskilled-non-resident	1	none	yes	1	M
x >= 200DM	12	all credits paid	business	609	x < 100 DM	x < 1 year	4	none	1	real estate	none	own	1	unemployed / unskilled-non-resident	1	none	yes	0	F
no checking account	12	existing credits paid	new car	1884	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	forniture	1620	x < 100 DM	1 <= x < 4 years	2	co-applicant	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	20	delay	others	2629	x < 100 DM	1 <= x < 4 years	2	none	3	car or other	bank	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	12	existing credits paid	education	719	x < 100 DM	x >= 7 years	4	none	4	car or other	bank	own	1	unskilled-resident	2	none	yes	0	M
0 <= x < 200 DM	48	critical accnt. / other credits	forniture	5096	x < 100 DM	1 <= x < 4 years	2	none	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
no checking account	9	critical accnt. / other credits	education	1244	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	rent	2	unskilled-resident	1	none	yes	1	F
x < 0 DM	36	existing credits paid	new car	1842	x < 100 DM	x < 1 year	4	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	0	F
0 <= x < 200 DM	7	existing credits paid	radio/tv	2576	x < 100 DM	1 <= x < 4 years	2	guarantor	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	12	existing credits paid	forniture	1424	unknown	x >= 7 years	3	none	4	real estate	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
0 <= x < 200 DM	15	delay	repairs	1512	x >= 1000 DM	1 <= x < 4 years	3	none	3	soc. savings / life insurance	stores	own	2	skilled employee / official	1	none	yes	0	M
no checking account	36	critical accnt. / other credits	used car	11054	unknown	1 <= x < 4 years	4	none	2	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	6	existing credits paid	radio/tv	518	x < 100 DM	1 <= x < 4 years	3	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	12	no credits	forniture	2759	x < 100 DM	x >= 7 years	2	none	4	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	used car	2670	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	24	existing credits paid	new car	4817	x < 100 DM	4 <= x < 7 years	2	co-applicant	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	0	M
no checking account	24	existing credits paid	used car	2679	x < 100 DM	x < 1 year	4	none	1	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
x < 0 DM	11	critical accnt. / other credits	new car	3905	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	rent	2	skilled employee / official	2	none	yes	1	M
x < 0 DM	12	existing credits paid	used car	3386	x < 100 DM	x >= 7 years	3	none	4	unknown	none	for free	1	skilled employee / official	1	yes	yes	0	M
x < 0 DM	6	existing credits paid	appliances	343	x < 100 DM	x < 1 year	4	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	18	existing credits paid	radio/tv	4594	x < 100 DM	x < 1 year	3	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	36	existing credits paid	forniture	3620	x < 100 DM	1 <= x < 4 years	1	guarantor	2	soc. savings / life insurance	none	own	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	15	existing credits paid	new car	1721	x < 100 DM	x < 1 year	2	none	3	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	forniture	3017	x < 100 DM	x < 1 year	3	none	1	real estate	none	rent	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	F
0 <= x < 200 DM	12	existing credits paid	retraining	754	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	18	existing credits paid	business	1950	x < 100 DM	4 <= x < 7 years	4	none	1	car or other	stores	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	24	existing credits paid	used car	2924	x < 100 DM	1 <= x < 4 years	3	guarantor	4	unknown	bank	own	1	skilled employee / official	2	yes	yes	1	M
x < 0 DM	24	delay	radio/tv	1659	x < 100 DM	x < 1 year	4	none	2	car or other	none	rent	1	unskilled-resident	1	yes	yes	0	F
no checking account	48	delay	radio/tv	7238	unknown	x >= 7 years	3	none	3	car or other	bank	own	2	skilled employee / official	2	none	yes	1	M
no checking account	33	delay	business	2764	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	F
no checking account	24	delay	used car	4679	x < 100 DM	4 <= x < 7 years	3	none	3	car or other	none	own	2	unskilled-resident	1	yes	yes	1	M
0 <= x < 200 DM	24	existing credits paid	radio/tv	3092	100 <= x < 500 DM	x < 1 year	3	none	2	car or other	none	rent	1	skilled employee / official	1	yes	yes	0	M
x < 0 DM	6	existing credits paid	education	448	x < 100 DM	x < 1 year	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	9	existing credits paid	new car	654	x < 100 DM	1 <= x < 4 years	4	none	3	car or other	none	own	1	unskilled-resident	1	none	yes	0	M
no checking account	6	existing credits paid	retraining	1238	unknown	unemployed	4	none	4	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
0 <= x < 200 DM	18	critical accnt. / other credits	radio/tv	1245	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	18	no credits	forniture	3114	x < 100 DM	x < 1 year	1	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	0	F
no checking account	39	existing credits paid	used car	2569	500 <= x < 1000 DM	1 <= x < 4 years	4	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	24	existing credits paid	radio/tv	5152	x < 100 DM	4 <= x < 7 years	4	none	2	car or other	bank	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	business	1037	100 <= x < 500 DM	4 <= x < 7 years	3	none	4	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
x < 0 DM	15	critical accnt. / other credits	forniture	1478	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
0 <= x < 200 DM	12	critical accnt. / other credits	radio/tv	3573	x < 100 DM	1 <= x < 4 years	1	none	1	real estate	none	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	24	existing credits paid	new car	1201	x < 100 DM	x < 1 year	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	30	existing credits paid	forniture	3622	x >= 1000 DM	x >= 7 years	4	none	4	soc. savings / life insurance	none	rent	2	skilled employee / official	1	yes	yes	1	F
no checking account	15	delay	forniture	960	x >= 1000 DM	4 <= x < 7 years	3	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	12	critical accnt. / other credits	new car	1163	500 <= x < 1000 DM	1 <= x < 4 years	4	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	6	delay	new car	1209	x < 100 DM	unemployed	4	none	4	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	12	existing credits paid	radio/tv	3077	x < 100 DM	1 <= x < 4 years	2	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	24	existing credits paid	new car	3757	x < 100 DM	x >= 7 years	4	co-applicant	4	unknown	none	for free	1	skilled employee / official	1	yes	yes	1	F
no checking account	10	existing credits paid	new car	1418	100 <= x < 500 DM	1 <= x < 4 years	3	none	2	real estate	none	rent	1	unskilled-resident	1	none	no	1	M
no checking account	6	existing credits paid	new car	3518	x < 100 DM	1 <= x < 4 years	2	guarantor	3	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	1	M
no checking account	12	critical accnt. / other credits	radio/tv	1934	x < 100 DM	x >= 7 years	2	none	2	unknown	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	27	no credits	business	8318	x < 100 DM	x >= 7 years	2	none	4	unknown	none	for free	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
no checking account	6	critical accnt. / other credits	radio/tv	1237	100 <= x < 500 DM	1 <= x < 4 years	1	none	1	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	6	existing credits paid	radio/tv	368	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	12	critical accnt. / other credits	new car	2122	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	rent	2	unskilled-resident	2	none	no	1	M
x < 0 DM	24	existing credits paid	forniture	2996	unknown	1 <= x < 4 years	2	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	36	existing credits paid	forniture	9034	100 <= x < 500 DM	x < 1 year	4	co-applicant	1	unknown	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	24	critical accnt. / other credits	forniture	1585	x < 100 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	18	existing credits paid	radio/tv	1301	x < 100 DM	x >= 7 years	4	guarantor	2	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
x >= 200DM	6	critical accnt. / other credits	new car	1323	100 <= x < 500 DM	x >= 7 years	2	none	4	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
x < 0 DM	24	existing credits paid	new car	3123	x < 100 DM	x < 1 year	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	36	existing credits paid	used car	5493	x < 100 DM	x >= 7 years	2	none	4	unknown	none	for free	1	skilled employee / official	2	none	yes	1	M
x >= 200DM	9	existing credits paid	radio/tv	1126	100 <= x < 500 DM	x >= 7 years	2	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	24	critical accnt. / other credits	radio/tv	1216	100 <= x < 500 DM	x < 1 year	4	none	4	unknown	bank	own	2	skilled employee / official	2	none	yes	0	M
x < 0 DM	24	existing credits paid	new car	1207	x < 100 DM	x < 1 year	4	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	0	F
no checking account	10	existing credits paid	new car	1309	unknown	1 <= x < 4 years	4	guarantor	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	0	M
x >= 200DM	15	critical accnt. / other credits	used car	2360	500 <= x < 1000 DM	1 <= x < 4 years	2	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	15	all credits paid	new car	6850	100 <= x < 500 DM	unemployed	1	none	2	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	2	yes	yes	0	M
no checking account	24	existing credits paid	radio/tv	1413	x < 100 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	39	existing credits paid	used car	8588	100 <= x < 500 DM	x >= 7 years	4	none	2	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	new car	759	x < 100 DM	4 <= x < 7 years	4	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	0	M
